DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
04/28/2021,EVENING,1 6 5,"2,168","$200,610"
04/28/2021,MIDDAY,7 5 8,"1,369","$142,905"
04/27/2021,NIGHT,0 5 1,"2,415","$209,640"
04/27/2021,EVENING,3 6 3,854,"$132,615"
04/27/2021,MIDDAY,2 2 6,"2,030","$438,028"
04/26/2021,NIGHT,6 8 2,"1,946","$208,356"
04/26/2021,EVENING,0 9 4,"1,617","$114,383"
04/26/2021,MIDDAY,0 8 8,"2,040","$336,605"
04/25/2021,NIGHT,6 4 1,"1,765","$162,209"
04/25/2021,EVENING,1 4 5,"2,723","$279,459"
04/25/2021,MIDDAY,0 1 9,"2,969","$217,738"
04/24/2021,NIGHT,0 8 3,"1,295","$100,524"
04/24/2021,EVENING,6 0 8,"1,695","$236,043"
04/24/2021,MIDDAY,8 7 0,"1,481","$119,515"
04/23/2021,NIGHT,4 3 3,908,"$120,513"
04/23/2021,EVENING,3 2 2,"2,402","$381,528"
04/23/2021,MIDDAY,8 0 9,"2,410","$297,031"
04/22/2021,NIGHT,9 0 8,"1,555","$176,701"
04/22/2021,EVENING,6 6 9,975,"$167,186"
04/22/2021,MIDDAY,8 4 3,"1,362","$151,199"
