DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
01/13/2022,EVENING,1 1 7,"5,280","$949,786"
01/13/2022,MIDDAY,5 0 3,"2,047","$206,382"
01/12/2022,NIGHT,3 6 7,840,"$89,728"
01/12/2022,EVENING,9 1 3,"3,293","$393,072"
01/12/2022,MIDDAY,6 6 3,729,"$101,221"
01/11/2022,NIGHT,3 2 8,"1,527","$190,424"
01/11/2022,EVENING,8 0 7,"1,423","$134,598"
01/11/2022,MIDDAY,9 4 6,"1,072","$92,523"
01/10/2022,NIGHT,6 3 9,"1,216","$100,178"
01/10/2022,EVENING,4 8 7,"1,473","$139,416"
01/10/2022,MIDDAY,0 9 8,"1,989","$143,423"
01/09/2022,NIGHT,3 0 7,"1,248","$130,224"
01/09/2022,EVENING,3 0 3,"2,105","$373,146"
01/09/2022,MIDDAY,3 7 5,"2,588","$225,994"
01/08/2022,NIGHT,9 2 7,"1,731","$202,501"
01/08/2022,EVENING,5 2 9,"2,176","$231,554"
01/08/2022,MIDDAY,5 2 2,"3,490","$597,853"
01/07/2022,NIGHT,1 3 3,"2,449","$369,445"
01/07/2022,EVENING,8 8 9,"1,729","$256,997"
01/07/2022,MIDDAY,6 1 4,"3,708","$484,141"
