DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
03/16/2023,MIDDAY,2 1 5,"4,251","$402,542"
03/15/2023,NIGHT,0 6 3,"1,452","$96,770"
03/15/2023,EVENING,6 0 2,"2,081","$205,192"
03/15/2023,MIDDAY,1 2 7,"5,793","$702,514"
03/14/2023,NIGHT,9 6 0,"1,127","$104,295"
03/14/2023,EVENING,2 9 9,"1,408","$212,777"
03/14/2023,MIDDAY,8 2 6,"1,958","$208,216"
03/13/2023,NIGHT,7 8 0,"1,139","$104,712"
03/13/2023,EVENING,8 0 3,"2,193","$258,719"
03/13/2023,MIDDAY,1 9 8,"1,619","$124,574"
03/12/2023,NIGHT,7 1 5,"1,387","$171,896"
03/12/2023,EVENING,0 7 0,"1,345","$183,259"
03/12/2023,MIDDAY,9 5 1,"1,901","$148,418"
03/11/2023,NIGHT,6 3 1,"1,961","$137,724"
03/11/2023,EVENING,7 5 1,"2,562","$226,645"
03/11/2023,MIDDAY,4 2 2,"3,304","$572,032"
03/10/2023,NIGHT,2 1 9,"4,238","$483,486"
03/10/2023,EVENING,7 0 7,"2,471","$453,943"
03/10/2023,MIDDAY,2 5 6,"1,889","$177,267"
03/09/2023,NIGHT,9 2 0,"1,461","$172,402"
