DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
12/04/2021,EVENING,0 9 9,"7,614","$1,357,881"
12/04/2021,MIDDAY,0 3 7,"1,600","$103,305"
12/03/2021,NIGHT,1 8 9,"1,756","$164,488"
12/03/2021,EVENING,2 6 7,"2,134","$175,841"
12/03/2021,MIDDAY,6 0 4,"2,142","$249,593"
12/02/2021,NIGHT,4 0 9,"1,574","$202,219"
12/02/2021,EVENING,5 9 2,"2,843","$226,437"
12/02/2021,MIDDAY,5 8 4,"1,825","$172,578"
12/01/2021,NIGHT,8 5 2,"1,713","$148,681"
12/01/2021,EVENING,2 1 9,"5,071","$563,030"
12/01/2021,MIDDAY,7 8 5,"1,406","$122,578"
11/30/2021,NIGHT,9 3 0,"1,211","$129,936"
11/30/2021,EVENING,9 7 2,"1,886","$154,394"
11/30/2021,MIDDAY,5 6 0,"1,184","$92,459"
11/29/2021,NIGHT,6 4 9,563,"$53,335"
11/29/2021,EVENING,7 1 3,"2,615","$275,251"
11/29/2021,MIDDAY,0 0 7,"1,439","$221,426"
11/28/2021,NIGHT,6 5 7,"2,003","$168,572"
11/28/2021,EVENING,0 2 7,"2,596","$178,217"
11/28/2021,MIDDAY,2 2 7,"3,008","$580,718"
