DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
03/22/2018,MIDDAY,0 2 6,"1,361","$93,889"
03/21/2018,NIGHT,3 3 8,520,"$82,441"
03/21/2018,EVENING,0 3 9,"1,955","$152,681"
03/21/2018,MIDDAY,0 9 4,"1,102","$72,785"
03/20/2018,NIGHT,2 5 8,842,"$84,009"
03/20/2018,EVENING,3 8 4,941,"$77,548"
03/20/2018,MIDDAY,9 8 5,"1,334","$132,445"
03/19/2018,NIGHT,7 8 1,"1,111","$76,604"
03/19/2018,EVENING,4 5 0,"1,371","$120,315"
03/19/2018,MIDDAY,6 9 1,"2,340","$211,888"
03/18/2018,NIGHT,6 9 4,428,"$27,889"
03/18/2018,EVENING,0 8 8,"1,608","$229,182"
03/18/2018,MIDDAY,7 6 5,"3,315","$346,869"
03/17/2018,NIGHT,6 4 7,766,"$73,102"
03/17/2018,EVENING,3 8 0,"1,929","$169,486"
03/17/2018,MIDDAY,1 6 5,"3,045","$264,033"
03/16/2018,NIGHT,5 5 1,"1,104","$181,164"
03/16/2018,EVENING,1 0 2,"4,682","$443,168"
03/16/2018,MIDDAY,5 2 2,"3,076","$612,687"
03/15/2018,NIGHT,8 4 5,581,"$56,334"
