DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
04/11/2023,NIGHT,7 6 2,"1,495","$152,185"
04/11/2023,EVENING,7 3 9,"1,397","$135,182"
04/11/2023,MIDDAY,5 2 6,"1,939","$219,800"
04/10/2023,NIGHT,9 4 0,"1,441","$111,576"
04/10/2023,EVENING,7 8 4,"1,379","$123,217"
04/10/2023,MIDDAY,9 6 8,975,"$74,032"
04/09/2023,NIGHT,3 4 5,"1,140","$120,040"
04/09/2023,EVENING,2 0 5,"2,208","$257,699"
04/09/2023,MIDDAY,4 0 8,"2,201","$290,284"
04/08/2023,NIGHT,5 3 9,919,"$107,153"
04/08/2023,EVENING,5 5 2,"1,612","$248,021"
04/08/2023,MIDDAY,2 9 4,"2,074","$138,976"
04/07/2023,NIGHT,8 1 5,"1,734","$193,580"
04/07/2023,EVENING,2 4 6,"3,003","$286,404"
04/07/2023,MIDDAY,5 9 7,"1,754","$204,040"
04/06/2023,NIGHT,0 4 2,"2,037","$144,354"
04/06/2023,EVENING,2 0 8,"2,247","$264,248"
04/06/2023,MIDDAY,0 8 3,"1,796","$134,131"
04/05/2023,NIGHT,7 6 8,"1,798","$150,961"
04/05/2023,EVENING,9 8 3,933,"$83,931"
