DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
06/05/2019,MIDDAY,2 8 8,961,"$156,826"
06/04/2019,NIGHT,2 6 6,612,"$86,367"
06/04/2019,EVENING,4 7 9,"1,086","$109,731"
06/04/2019,MIDDAY,4 1 4,"2,830","$657,620"
06/03/2019,NIGHT,2 4 0,936,"$86,831"
06/03/2019,EVENING,2 3 7,"2,298","$202,592"
06/03/2019,MIDDAY,6 9 0,"2,191","$205,975"
06/02/2019,NIGHT,1 3 9,"1,264","$96,133"
06/02/2019,EVENING,3 5 7,"2,565","$521,719"
06/02/2019,MIDDAY,9 0 8,"1,602","$157,720"
06/01/2019,NIGHT,1 8 6,971,"$72,962"
06/01/2019,EVENING,5 0 7,"1,500","$157,572"
06/01/2019,MIDDAY,6 4 0,"2,487","$246,432"
05/31/2019,NIGHT,9 6 9,360,"$55,440"
05/31/2019,EVENING,7 4 0,"1,484","$120,729"
05/31/2019,MIDDAY,4 5 4,"1,802","$360,274"
05/30/2019,NIGHT,2 7 2,649,"$102,284"
05/30/2019,EVENING,5 8 7,"1,453","$133,719"
05/30/2019,MIDDAY,8 6 8,677,"$109,397"
05/29/2019,NIGHT,0 0 7,580,"$92,782"
