DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
03/30/2019,EVENING,5 0 8,"1,392","$149,108"
03/30/2019,MIDDAY,5 8 6,"1,468","$152,972"
03/29/2019,NIGHT,9 4 2,"1,024","$74,365"
03/29/2019,EVENING,3 3 1,"5,267","$1,123,388"
03/29/2019,MIDDAY,0 0 9,"1,641","$222,840"
03/28/2019,NIGHT,9 7 8,"1,762","$139,874"
03/28/2019,EVENING,4 4 5,"1,325","$205,439"
03/28/2019,MIDDAY,2 4 1,"7,048","$580,267"
03/27/2019,NIGHT,2 0 1,"3,793","$422,013"
03/27/2019,EVENING,7 2 4,"3,135","$377,504"
03/27/2019,MIDDAY,5 7 4,"1,426","$138,735"
03/26/2019,NIGHT,1 2 5,"2,123","$286,629"
03/26/2019,EVENING,5 4 6,"3,366","$313,008"
03/26/2019,MIDDAY,0 1 4,"2,009","$130,885"
03/25/2019,NIGHT,3 2 6,"1,654","$253,138"
03/25/2019,EVENING,5 5 0,"1,082","$179,973"
03/25/2019,MIDDAY,1 7 6,"2,529","$259,657"
03/24/2019,NIGHT,6 3 6,431,"$72,171"
03/24/2019,EVENING,8 1 0,"5,191","$621,461"
03/24/2019,MIDDAY,0 1 9,"2,188","$149,124"
