DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
05/01/2018,MIDDAY,1 4 7,"2,643","$242,845"
04/30/2018,NIGHT,8 5 2,"1,148","$123,331"
04/30/2018,EVENING,5 1 1,"2,898","$555,041"
04/30/2018,MIDDAY,8 8 3,"1,135","$210,270"
04/29/2018,NIGHT,3 1 8,"1,563","$210,246"
04/29/2018,EVENING,6 8 9,"1,217","$127,944"
04/29/2018,MIDDAY,3 3 4,"1,074","$196,039"
04/28/2018,NIGHT,0 2 5,"1,311","$94,951"
04/28/2018,EVENING,2 5 7,"1,876","$257,628"
04/28/2018,MIDDAY,6 6 3,911,"$154,817"
04/27/2018,NIGHT,1 4 2,"2,734","$193,319"
04/27/2018,EVENING,2 6 1,"3,680","$269,679"
04/27/2018,MIDDAY,3 6 2,"2,047","$176,778"
04/26/2018,NIGHT,0 3 4,900,"$70,836"
04/26/2018,EVENING,9 9 7,914,"$120,064"
04/26/2018,MIDDAY,2 3 6,"2,611","$207,510"
04/25/2018,NIGHT,4 4 9,303,"$38,955"
04/25/2018,EVENING,3 9 7,"1,458","$147,138"
04/25/2018,MIDDAY,1 0 8,"4,003","$605,302"
04/24/2018,NIGHT,0 1 4,887,"$55,338"
