DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
12/24/2021,EVENING,7 3 6,"2,000","$172,251"
12/24/2021,MIDDAY,1 8 2,"3,973","$288,874"
12/23/2021,NIGHT,4 0 1,"1,536","$155,458"
12/23/2021,EVENING,9 0 6,"2,865","$333,201"
12/23/2021,MIDDAY,9 2 5,"1,952","$242,496"
12/22/2021,NIGHT,1 7 9,"1,204","$108,535"
12/22/2021,EVENING,0 9 9,"2,621","$360,345"
12/22/2021,MIDDAY,3 9 4,"1,469","$120,539"
12/21/2021,NIGHT,8 7 7,619,"$71,195"
12/21/2021,EVENING,0 1 4,"3,598","$244,997"
12/21/2021,MIDDAY,4 9 0,"1,679","$113,076"
12/20/2021,NIGHT,2 8 9,"1,369","$119,990"
12/20/2021,EVENING,4 0 8,"2,177","$236,789"
12/20/2021,MIDDAY,7 3 9,"1,398","$111,749"
12/19/2021,NIGHT,6 9 9,520,"$82,833"
12/19/2021,EVENING,4 9 7,"1,227","$98,153"
12/19/2021,MIDDAY,8 1 9,"2,078","$227,539"
12/18/2021,NIGHT,8 8 0,"1,693","$277,897"
12/18/2021,EVENING,1 5 4,"2,404","$176,630"
12/18/2021,MIDDAY,2 2 6,"3,065","$524,504"
