DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
01/17/2020,NIGHT,0 3 8,814,"$66,635"
01/17/2020,EVENING,3 5 9,"1,232","$124,634"
01/17/2020,MIDDAY,4 6 2,"3,329","$326,235"
01/16/2020,NIGHT,9 5 3,433,"$35,645"
01/16/2020,EVENING,2 4 4,"1,860","$311,982"
01/16/2020,MIDDAY,4 5 2,"1,794","$140,495"
01/15/2020,NIGHT,3 8 0,832,"$67,169"
01/15/2020,EVENING,6 2 9,"1,483","$145,692"
01/15/2020,MIDDAY,7 4 3,906,"$99,850"
01/14/2020,NIGHT,5 5 0,731,"$143,649"
01/14/2020,EVENING,5 7 2,"1,769","$146,672"
01/14/2020,MIDDAY,7 8 5,"1,306","$110,475"
01/13/2020,NIGHT,2 6 7,783,"$57,074"
01/13/2020,EVENING,9 2 0,"1,688","$181,084"
01/13/2020,MIDDAY,8 1 7,"3,223","$417,245"
01/12/2020,NIGHT,4 1 0,971,"$106,265"
01/12/2020,EVENING,9 5 3,"1,056","$86,152"
01/12/2020,MIDDAY,4 1 3,"3,752","$522,548"
01/11/2020,NIGHT,6 2 9,948,"$113,009"
01/11/2020,EVENING,5 4 8,"1,076","$106,456"
