DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
03/31/2020,MIDDAY,0 0 0,"5,832","$2,154,460"
03/30/2020,NIGHT,9 5 2,800,"$68,481"
03/30/2020,EVENING,2 1 2,"7,948","$2,024,276"
03/30/2020,MIDDAY,5 5 4,882,"$135,920"
03/29/2020,NIGHT,9 9 8,402,"$52,990"
03/29/2020,EVENING,8 0 3,"1,861","$218,058"
03/29/2020,MIDDAY,0 3 7,"1,119","$88,272"
03/28/2020,NIGHT,7 2 4,"1,342","$154,781"
03/28/2020,EVENING,7 0 6,"1,141","$155,580"
03/28/2020,MIDDAY,7 4 9,"1,057","$107,043"
03/27/2020,NIGHT,0 6 0,863,"$132,496"
03/27/2020,EVENING,3 0 0,"1,787","$374,625"
03/27/2020,MIDDAY,5 3 5,774,"$147,668"
03/26/2020,NIGHT,1 8 9,"1,077","$147,412"
03/26/2020,EVENING,0 9 0,980,"$115,962"
03/26/2020,MIDDAY,7 8 2,"1,262","$121,651"
03/25/2020,NIGHT,0 0 5,889,"$134,930"
03/25/2020,EVENING,2 9 4,"1,602","$120,067"
03/25/2020,MIDDAY,3 2 0,"2,020","$262,235"
03/24/2020,NIGHT,9 8 9,548,"$102,994"
