DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
02/04/2023,MIDDAY,9 5 4,"1,585","$155,039"
02/03/2023,NIGHT,8 2 2,"1,683","$257,316"
02/03/2023,EVENING,2 5 9,"2,319","$203,954"
02/03/2023,MIDDAY,6 8 5,"2,035","$206,596"
02/02/2023,NIGHT,5 6 2,"1,091","$87,411"
02/02/2023,EVENING,2 8 0,"1,987","$165,601"
02/02/2023,MIDDAY,9 3 6,"2,461","$233,044"
02/01/2023,NIGHT,3 5 4,"1,224","$98,295"
02/01/2023,EVENING,6 0 7,"1,632","$180,790"
02/01/2023,MIDDAY,3 4 8,"1,557","$168,216"
01/31/2023,NIGHT,8 2 9,979,"$95,847"
01/31/2023,EVENING,2 8 1,"3,699","$265,239"
01/31/2023,MIDDAY,7 9 7,767,"$98,175"
01/30/2023,NIGHT,5 7 2,"1,234","$104,893"
01/30/2023,EVENING,7 4 9,"1,667","$165,044"
01/30/2023,MIDDAY,0 4 4,"2,092","$305,128"
01/29/2023,NIGHT,9 5 4,989,"$81,676"
01/29/2023,EVENING,4 7 1,"1,927","$149,170"
01/29/2023,MIDDAY,9 5 4,"1,103","$99,936"
01/28/2023,NIGHT,7 9 6,"2,178","$160,265"
