DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
01/21/2023,NIGHT,5 9 2,921,"$65,554"
01/21/2023,EVENING,3 2 7,"2,937","$346,473"
01/21/2023,MIDDAY,7 8 7,921,"$101,639"
01/20/2023,NIGHT,1 1 1,"5,595","$1,290,320"
01/20/2023,EVENING,9 6 1,"2,537","$196,734"
01/20/2023,MIDDAY,5 9 3,"1,240","$94,535"
01/19/2023,NIGHT,1 8 8,"1,196","$187,439"
01/19/2023,EVENING,6 7 7,"1,097","$123,210"
01/19/2023,MIDDAY,0 0 0,"4,121","$931,533"
01/18/2023,NIGHT,0 3 7,"1,240","$107,556"
01/18/2023,EVENING,2 9 5,"1,892","$144,183"
01/18/2023,MIDDAY,8 4 0,"1,011","$77,636"
01/17/2023,NIGHT,6 2 3,"1,727","$220,124"
01/17/2023,EVENING,9 9 9,"9,119","$2,214,727"
01/17/2023,MIDDAY,0 2 9,"1,527","$101,730"
01/16/2023,NIGHT,6 5 4,"1,701","$176,675"
01/16/2023,EVENING,6 1 8,"2,321","$270,383"
01/16/2023,MIDDAY,8 5 8,615,"$95,037"
01/15/2023,NIGHT,4 1 3,"2,301","$253,005"
01/15/2023,EVENING,0 0 2,"1,441","$169,444"
