DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
01/28/2023,EVENING,4 9 5,"1,394","$122,097"
01/28/2023,MIDDAY,9 7 6,"4,611","$438,573"
01/27/2023,NIGHT,3 3 6,858,"$133,800"
01/27/2023,EVENING,6 2 3,"2,656","$289,421"
01/27/2023,MIDDAY,4 5 1,"2,136","$181,406"
01/26/2023,NIGHT,2 6 5,"1,288","$105,497"
01/26/2023,EVENING,3 7 1,"3,032","$230,771"
01/26/2023,MIDDAY,9 3 2,"1,553","$117,983"
01/25/2023,NIGHT,7 9 9,965,"$150,152"
01/25/2023,EVENING,0 6 7,"1,265","$91,013"
01/25/2023,MIDDAY,6 4 2,"1,978","$187,425"
01/24/2023,NIGHT,5 2 9,"1,211","$145,623"
01/24/2023,EVENING,6 2 8,"2,164","$275,103"
01/24/2023,MIDDAY,5 6 0,997,"$82,303"
01/23/2023,NIGHT,4 7 3,929,"$83,186"
01/23/2023,EVENING,9 7 7,920,"$116,285"
01/23/2023,MIDDAY,1 2 6,"2,545","$292,346"
01/22/2023,NIGHT,9 1 8,953,"$119,788"
01/22/2023,EVENING,6 3 3,"1,061","$145,167"
01/22/2023,MIDDAY,1 4 1,"2,363","$355,388"
