DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
05/20/2022,MIDDAY,6 4 7,"3,102","$422,702"
05/19/2022,NIGHT,4 2 4,"1,877","$336,927"
05/19/2022,EVENING,1 8 9,"2,498","$250,242"
05/19/2022,MIDDAY,5 4 7,"1,629","$175,633"
05/18/2022,NIGHT,8 3 1,"3,065","$350,540"
05/18/2022,EVENING,6 6 5,"1,367","$177,048"
05/18/2022,MIDDAY,8 9 7,"3,793","$328,608"
05/17/2022,NIGHT,6 8 4,"1,122","$94,640"
05/17/2022,EVENING,8 8 8,"14,010","$3,359,885"
05/17/2022,MIDDAY,1 0 7,"6,008","$804,722"
05/16/2022,NIGHT,1 1 7,"3,052","$530,382"
05/16/2022,EVENING,7 8 5,"1,590","$149,163"
05/16/2022,MIDDAY,2 4 6,"2,640","$275,399"
05/15/2022,NIGHT,7 7 1,992,"$149,201"
05/15/2022,EVENING,5 5 6,988,"$121,517"
05/15/2022,MIDDAY,4 0 1,"2,395","$229,667"
05/14/2022,NIGHT,3 0 4,"1,608","$171,218"
05/14/2022,EVENING,8 7 6,"3,438","$306,476"
05/14/2022,MIDDAY,5 8 4,"1,514","$114,502"
05/13/2022,NIGHT,0 4 5,"1,177","$105,326"
