DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
12/12/2022,NIGHT,9 4 6,459,"$38,508"
12/12/2022,EVENING,8 5 0,"2,349","$227,083"
12/12/2022,MIDDAY,5 1 8,"2,256","$284,831"
12/11/2022,NIGHT,9 7 4,871,"$75,315"
12/11/2022,EVENING,6 4 9,"1,067","$97,003"
12/11/2022,MIDDAY,6 4 1,"2,155","$188,762"
12/10/2022,NIGHT,5 0 0,961,"$184,058"
12/10/2022,EVENING,2 8 0,"2,340","$193,569"
12/10/2022,MIDDAY,8 4 2,"2,033","$168,228"
12/09/2022,NIGHT,3 1 8,"4,089","$593,849"
12/09/2022,EVENING,1 5 4,"2,078","$164,959"
12/09/2022,MIDDAY,3 5 9,"1,737","$203,327"
12/08/2022,NIGHT,1 2 6,"2,301","$292,562"
12/08/2022,EVENING,9 2 9,"1,588","$287,124"
12/08/2022,MIDDAY,8 5 3,"1,556","$141,735"
12/07/2022,NIGHT,8 9 3,523,"$41,668"
12/07/2022,EVENING,3 2 2,"3,656","$595,934"
12/07/2022,MIDDAY,1 5 1,"2,878","$424,655"
12/06/2022,NIGHT,6 7 2,"1,183","$102,861"
12/06/2022,EVENING,6 6 5,"1,090","$117,360"
