DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
01/11/2021,NIGHT,3 5 9,946,"$114,261"
01/11/2021,EVENING,3 0 6,"2,057","$229,792"
01/11/2021,MIDDAY,3 7 7,"1,257","$237,192"
01/10/2021,NIGHT,9 5 2,817,"$67,429"
01/10/2021,EVENING,0 0 1,"6,770","$1,142,213"
01/10/2021,MIDDAY,3 0 8,"2,248","$251,975"
01/09/2021,NIGHT,0 8 1,"4,565","$421,493"
01/09/2021,EVENING,1 1 9,"6,596","$1,301,414"
01/09/2021,MIDDAY,9 3 1,"1,941","$155,377"
01/08/2021,NIGHT,5 4 5,874,"$143,520"
01/08/2021,EVENING,3 5 7,"5,210","$1,071,848"
01/08/2021,MIDDAY,1 4 7,"2,410","$214,834"
01/07/2021,NIGHT,1 9 5,"1,941","$189,541"
01/07/2021,EVENING,3 6 1,"3,407","$274,331"
01/07/2021,MIDDAY,7 2 5,"2,673","$332,563"
01/06/2021,NIGHT,7 5 9,"1,156","$124,928"
01/06/2021,EVENING,8 9 8,"1,485","$267,353"
01/06/2021,MIDDAY,3 5 6,"1,887","$226,410"
01/05/2021,NIGHT,6 2 2,870,"$158,245"
01/05/2021,EVENING,1 9 6,"3,025","$309,108"
