DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
05/29/2019,EVENING,3 5 8,"1,523","$183,529"
05/29/2019,MIDDAY,3 4 4,845,"$116,160"
05/28/2019,NIGHT,9 6 9,437,"$83,277"
05/28/2019,EVENING,7 2 8,"1,715","$221,648"
05/28/2019,MIDDAY,6 2 5,"1,874","$257,306"
05/27/2019,NIGHT,9 8 9,644,"$127,527"
05/27/2019,EVENING,7 9 4,933,"$77,438"
05/27/2019,MIDDAY,5 8 7,"1,017","$117,422"
05/26/2019,NIGHT,8 3 4,566,"$49,757"
05/26/2019,EVENING,4 4 9,537,"$95,896"
05/26/2019,MIDDAY,1 2 8,"2,062","$268,695"
05/25/2019,NIGHT,1 4 3,"1,353","$117,593"
05/25/2019,EVENING,1 7 9,"2,096","$197,717"
05/25/2019,MIDDAY,0 2 1,"4,476","$291,751"
05/24/2019,NIGHT,4 8 4,417,"$64,841"
05/24/2019,EVENING,1 2 0,"5,150","$606,879"
05/24/2019,MIDDAY,4 9 7,860,"$81,016"
05/23/2019,NIGHT,6 7 2,"1,145","$91,107"
05/23/2019,EVENING,2 7 2,"1,829","$291,521"
05/23/2019,MIDDAY,8 0 6,"1,370","$167,163"
