DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
04/25/2023,MIDDAY,5 6 8,"1,447","$140,131"
04/24/2023,NIGHT,4 2 6,"1,603","$200,095"
04/24/2023,EVENING,0 0 5,"1,695","$230,292"
04/24/2023,MIDDAY,4 3 2,"3,634","$300,623"
04/23/2023,NIGHT,3 6 7,"1,026","$103,114"
04/23/2023,EVENING,0 6 9,"1,254","$96,898"
04/23/2023,MIDDAY,2 4 8,"1,911","$165,625"
04/22/2023,NIGHT,1 4 0,"1,523","$113,400"
04/22/2023,EVENING,4 5 5,"1,246","$160,441"
04/22/2023,MIDDAY,2 0 6,"1,552","$156,266"
04/21/2023,NIGHT,0 5 5,933,"$119,485"
04/21/2023,EVENING,0 8 9,"2,957","$241,817"
04/21/2023,MIDDAY,5 8 0,"1,406","$119,504"
04/20/2023,NIGHT,8 2 2,"1,508","$252,647"
04/20/2023,EVENING,1 7 8,"2,083","$165,204"
04/20/2023,MIDDAY,7 4 3,"1,689","$159,421"
04/19/2023,NIGHT,9 1 0,"2,363","$250,606"
04/19/2023,EVENING,1 0 3,"5,662","$716,278"
04/19/2023,MIDDAY,3 3 7,984,"$148,850"
04/18/2023,NIGHT,9 7 8,"1,580","$115,006"
