DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
01/31/2020,MIDDAY,4 7 2,"2,181","$172,549"
01/30/2020,NIGHT,4 0 4,961,"$228,979"
01/30/2020,EVENING,0 2 1,"7,018","$488,894"
01/30/2020,MIDDAY,6 9 8,"1,231","$108,054"
01/29/2020,NIGHT,4 3 3,867,"$132,317"
01/29/2020,EVENING,4 5 8,998,"$112,237"
01/29/2020,MIDDAY,0 0 1,"3,391","$499,747"
01/28/2020,NIGHT,3 4 3,"1,317","$296,685"
01/28/2020,EVENING,2 5 7,"1,767","$205,924"
01/28/2020,MIDDAY,1 6 5,"1,629","$142,856"
01/27/2020,NIGHT,8 5 7,654,"$67,081"
01/27/2020,EVENING,8 1 0,"2,872","$353,873"
01/27/2020,MIDDAY,8 5 4,955,"$96,356"
01/26/2020,NIGHT,4 7 7,536,"$95,800"
01/26/2020,EVENING,7 6 0,"1,375","$116,395"
01/26/2020,MIDDAY,0 2 8,"1,298","$83,849"
01/25/2020,NIGHT,5 1 1,"1,317","$260,428"
01/25/2020,EVENING,2 5 0,"1,534","$148,608"
01/25/2020,MIDDAY,8 9 0,"1,468","$116,582"
01/24/2020,NIGHT,1 4 3,"1,699","$162,833"
