DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
05/23/2020,EVENING,7 2 3,"3,387","$425,218"
05/23/2020,MIDDAY,2 3 6,"4,153","$428,718"
05/22/2020,NIGHT,9 6 8,"1,237","$122,218"
05/22/2020,EVENING,1 3 8,"4,326","$445,619"
05/22/2020,MIDDAY,8 2 4,"3,727","$554,060"
05/21/2020,NIGHT,8 3 2,"1,834","$186,436"
05/21/2020,EVENING,5 6 4,"3,800","$326,837"
05/21/2020,MIDDAY,5 8 3,"1,321","$118,876"
05/20/2020,NIGHT,4 7 9,"1,030","$130,272"
05/20/2020,EVENING,7 5 6,"3,358","$338,358"
05/20/2020,MIDDAY,9 2 4,"2,080","$256,922"
05/19/2020,NIGHT,2 8 0,875,"$66,982"
05/19/2020,EVENING,5 7 6,"3,460","$288,019"
05/19/2020,MIDDAY,8 7 9,"3,506","$337,924"
05/18/2020,NIGHT,6 8 3,873,"$78,097"
05/18/2020,EVENING,3 6 1,"3,120","$242,775"
05/18/2020,MIDDAY,2 4 7,"2,726","$304,531"
05/17/2020,NIGHT,9 2 0,"1,137","$120,932"
05/17/2020,EVENING,5 5 3,931,"$127,951"
05/17/2020,MIDDAY,4 3 4,"1,777","$365,880"
