DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
01/11/2020,MIDDAY,8 2 7,"2,020","$249,491"
01/10/2020,NIGHT,1 2 4,"2,780","$388,078"
01/10/2020,EVENING,9 2 4,"1,727","$197,905"
01/10/2020,MIDDAY,0 1 8,"3,570","$237,649"
01/09/2020,NIGHT,2 1 4,"2,590","$308,202"
01/09/2020,EVENING,8 2 8,"1,114","$191,899"
01/09/2020,MIDDAY,2 6 6,"1,144","$170,930"
01/08/2020,NIGHT,7 0 4,838,"$110,985"
01/08/2020,EVENING,1 8 5,"1,744","$143,615"
01/08/2020,MIDDAY,9 3 9,701,"$111,064"
01/07/2020,NIGHT,3 5 5,544,"$89,501"
01/07/2020,EVENING,4 7 3,"1,471","$159,606"
01/07/2020,MIDDAY,9 0 3,"1,248","$120,013"
01/06/2020,NIGHT,1 7 3,"1,411","$125,458"
01/06/2020,EVENING,5 7 3,"2,118","$154,767"
01/06/2020,MIDDAY,5 2 0,"2,306","$253,995"
01/05/2020,NIGHT,5 2 7,"1,072","$110,724"
01/05/2020,EVENING,1 5 6,"3,055","$278,079"
01/05/2020,MIDDAY,2 0 0,"1,607","$321,189"
01/04/2020,NIGHT,3 4 2,"2,381","$235,284"
