DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
04/06/2019,MIDDAY,8 8 9,"1,803","$293,401"
04/05/2019,NIGHT,9 0 8,"1,771","$217,795"
04/05/2019,EVENING,5 4 6,"2,389","$206,769"
04/05/2019,MIDDAY,1 7 3,"2,919","$234,321"
04/04/2019,NIGHT,1 8 4,"1,912","$141,236"
04/04/2019,EVENING,4 8 7,"1,170","$105,972"
04/04/2019,MIDDAY,0 4 2,"2,013","$121,191"
04/03/2019,NIGHT,7 2 1,"2,368","$281,402"
04/03/2019,EVENING,5 1 6,"2,448","$308,364"
04/03/2019,MIDDAY,9 1 4,"2,309","$302,974"
04/02/2019,NIGHT,3 8 6,"1,139","$136,257"
04/02/2019,EVENING,8 2 5,"3,781","$488,025"
04/02/2019,MIDDAY,2 9 8,"1,475","$117,050"
04/01/2019,NIGHT,7 8 0,640,"$46,559"
04/01/2019,EVENING,5 8 5,"1,215","$205,283"
04/01/2019,MIDDAY,7 5 8,"2,109","$241,004"
03/31/2019,NIGHT,4 5 9,"1,127","$107,640"
03/31/2019,EVENING,9 4 0,"1,775","$136,272"
03/31/2019,MIDDAY,8 7 4,"1,041","$89,099"
03/30/2019,NIGHT,2 1 7,"2,384","$293,381"
