DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
03/02/2018,MIDDAY,0 7 7,"1,070","$146,679"
03/01/2018,NIGHT,6 5 3,724,"$53,697"
03/01/2018,EVENING,6 3 1,"3,547","$263,840"
03/01/2018,MIDDAY,1 9 1,"2,836","$410,379"
02/28/2018,NIGHT,4 8 3,523,"$40,896"
02/28/2018,EVENING,5 6 3,"1,456","$116,008"
02/28/2018,MIDDAY,3 2 2,"2,222","$357,262"
02/27/2018,NIGHT,7 9 7,454,"$70,234"
02/27/2018,EVENING,1 6 8,"2,294","$247,994"
02/27/2018,MIDDAY,9 6 5,807,"$71,992"
02/26/2018,NIGHT,4 4 4,"3,396","$1,187,058"
02/26/2018,EVENING,4 6 8,"1,834","$209,737"
02/26/2018,MIDDAY,0 4 7,"1,511","$119,461"
02/25/2018,NIGHT,1 7 1,"1,470","$225,822"
02/25/2018,EVENING,3 1 8,"2,599","$352,621"
02/25/2018,MIDDAY,4 9 4,581,"$77,204"
02/24/2018,NIGHT,7 4 1,"1,084","$93,599"
02/24/2018,EVENING,4 0 3,"1,793","$232,132"
02/24/2018,MIDDAY,5 9 9,826,"$138,547"
02/23/2018,NIGHT,8 2 9,810,"$86,412"
