DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
09/10/2022,EVENING,7 0 2,"1,730","$175,377"
09/10/2022,MIDDAY,1 4 7,"2,490","$219,844"
09/09/2022,NIGHT,1 2 8,"2,670","$307,099"
09/09/2022,EVENING,1 5 7,"2,279","$193,070"
09/09/2022,MIDDAY,9 1 9,"2,362","$402,337"
09/08/2022,NIGHT,8 9 8,"1,898","$332,179"
09/08/2022,EVENING,0 4 3,"1,647","$107,716"
09/08/2022,MIDDAY,0 6 5,"1,335","$90,001"
09/07/2022,NIGHT,9 8 3,685,"$65,932"
09/07/2022,EVENING,9 0 2,"1,991","$213,760"
09/07/2022,MIDDAY,2 7 3,"1,565","$119,718"
09/06/2022,NIGHT,1 9 2,"1,873","$118,816"
09/06/2022,EVENING,8 4 7,"1,326","$115,640"
09/06/2022,MIDDAY,0 5 0,"1,068","$140,232"
09/05/2022,NIGHT,6 4 6,682,"$108,602"
09/05/2022,EVENING,8 1 1,"2,910","$474,806"
09/05/2022,MIDDAY,4 6 0,"1,338","$111,591"
09/04/2022,NIGHT,7 5 9,861,"$82,148"
09/04/2022,EVENING,4 0 4,"4,510","$924,875"
09/04/2022,MIDDAY,7 6 7,"1,407","$213,347"
