DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
08/02/2018,EVENING,2 8 9,"2,314","$232,733"
08/02/2018,MIDDAY,2 8 9,"1,859","$170,512"
08/01/2018,NIGHT,3 1 6,"1,245","$193,221"
08/01/2018,EVENING,0 9 2,"1,729","$108,534"
08/01/2018,MIDDAY,2 6 8,"2,543","$244,433"
07/31/2018,NIGHT,8 2 7,"1,199","$150,010"
07/31/2018,EVENING,5 3 4,"2,549","$219,112"
07/31/2018,MIDDAY,3 2 1,"9,906","$1,130,193"
07/30/2018,NIGHT,7 7 3,367,"$63,150"
07/30/2018,EVENING,3 4 9,"1,668","$219,836"
07/30/2018,MIDDAY,5 6 1,"1,756","$147,131"
07/29/2018,NIGHT,2 0 3,968,"$99,217"
07/29/2018,EVENING,4 6 8,"1,428","$169,000"
07/29/2018,MIDDAY,3 5 1,"3,030","$267,714"
07/28/2018,NIGHT,0 3 9,986,"$70,871"
07/28/2018,EVENING,6 7 9,"4,414","$498,205"
07/28/2018,MIDDAY,9 6 1,"1,716","$153,049"
07/27/2018,NIGHT,0 4 4,"1,520","$278,242"
07/27/2018,EVENING,8 9 0,"1,679","$142,578"
07/27/2018,MIDDAY,2 2 9,"1,348","$232,515"
