DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
12/09/2020,EVENING,5 8 9,"1,472","$149,231"
12/09/2020,MIDDAY,9 4 9,515,"$88,040"
12/08/2020,NIGHT,5 0 3,977,"$96,533"
12/08/2020,EVENING,0 8 7,"1,219","$84,682"
12/08/2020,MIDDAY,6 5 1,"1,991","$202,735"
12/07/2020,NIGHT,7 0 2,880,"$86,195"
12/07/2020,EVENING,6 6 9,670,"$96,341"
12/07/2020,MIDDAY,5 3 2,"2,343","$206,513"
12/06/2020,NIGHT,7 2 4,"1,406","$195,899"
12/06/2020,EVENING,6 0 7,"2,357","$267,849"
12/06/2020,MIDDAY,0 1 0,"3,927","$585,247"
12/05/2020,NIGHT,7 7 6,667,"$85,887"
12/05/2020,EVENING,6 5 5,"1,036","$144,019"
12/05/2020,MIDDAY,1 2 1,"5,675","$1,177,996"
12/04/2020,NIGHT,5 7 5,742,"$140,564"
12/04/2020,EVENING,5 0 8,"1,419","$186,395"
12/04/2020,MIDDAY,2 2 9,"3,041","$675,365"
12/03/2020,NIGHT,4 9 2,"1,228","$95,427"
12/03/2020,EVENING,5 2 4,"3,183","$393,187"
12/03/2020,MIDDAY,5 8 0,"1,433","$112,227"
