DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
05/16/2020,NIGHT,8 0 2,"1,144","$131,562"
05/16/2020,EVENING,3 6 0,"2,089","$183,009"
05/16/2020,MIDDAY,8 9 1,"1,920","$149,763"
05/15/2020,NIGHT,6 0 5,"1,330","$159,458"
05/15/2020,EVENING,1 6 2,"3,355","$260,454"
05/15/2020,MIDDAY,7 1 4,"3,763","$524,010"
05/14/2020,NIGHT,0 4 3,"2,603","$232,849"
05/14/2020,EVENING,7 2 6,"2,586","$339,838"
05/14/2020,MIDDAY,7 8 8,"1,047","$163,094"
05/13/2020,NIGHT,2 5 7,"2,236","$256,007"
05/13/2020,EVENING,4 5 5,"1,136","$155,964"
05/13/2020,MIDDAY,2 6 8,"3,456","$372,306"
05/12/2020,NIGHT,1 6 8,"1,474","$135,528"
05/12/2020,EVENING,5 2 0,"2,932","$345,340"
05/12/2020,MIDDAY,9 0 7,"1,376","$160,268"
05/11/2020,NIGHT,8 6 6,627,"$100,596"
05/11/2020,EVENING,5 9 2,"1,913","$151,983"
05/11/2020,MIDDAY,5 7 6,"3,528","$324,615"
05/10/2020,NIGHT,1 5 4,"1,253","$112,084"
05/10/2020,EVENING,2 3 1,"7,341","$495,347"
