DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
05/21/2018,MIDDAY,3 9 0,"2,121","$170,120"
05/20/2018,NIGHT,6 3 4,746,"$63,314"
05/20/2018,EVENING,8 1 8,"2,694","$626,072"
05/20/2018,MIDDAY,9 2 2,"1,505","$299,580"
05/19/2018,NIGHT,6 4 2,"1,618","$150,469"
05/19/2018,EVENING,3 1 2,"19,805","$2,268,751"
05/19/2018,MIDDAY,8 3 7,947,"$74,249"
05/18/2018,NIGHT,5 1 9,"2,340","$433,994"
05/18/2018,EVENING,4 2 2,"4,928","$1,017,745"
05/18/2018,MIDDAY,3 3 6,"1,086","$204,585"
05/17/2018,NIGHT,8 5 7,"1,833","$163,803"
05/17/2018,EVENING,0 3 1,"4,418","$279,487"
05/17/2018,MIDDAY,5 7 8,"1,795","$181,351"
05/16/2018,NIGHT,1 3 0,"2,941","$314,527"
05/16/2018,EVENING,1 3 3,"2,729","$416,711"
05/16/2018,MIDDAY,5 4 0,"1,426","$131,900"
05/15/2018,NIGHT,1 0 3,"2,881","$366,048"
05/15/2018,EVENING,6 9 3,"1,989","$172,252"
05/15/2018,MIDDAY,3 9 6,"1,838","$165,775"
05/14/2018,NIGHT,8 7 8,607,"$92,228"
