DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
02/17/2023,EVENING,1 4 9,"2,458","$213,236"
02/17/2023,MIDDAY,0 8 3,"2,037","$140,987"
02/16/2023,NIGHT,3 0 6,"1,310","$174,061"
02/16/2023,EVENING,5 8 4,"1,605","$150,125"
02/16/2023,MIDDAY,2 6 9,"1,547","$128,634"
02/15/2023,NIGHT,5 7 7,815,"$116,809"
02/15/2023,EVENING,6 9 2,"2,048","$169,688"
02/15/2023,MIDDAY,6 2 5,"2,183","$295,500"
02/14/2023,NIGHT,4 2 4,"1,651","$311,135"
02/14/2023,EVENING,6 7 5,"4,312","$445,153"
02/14/2023,MIDDAY,8 6 7,"2,754","$240,951"
02/13/2023,NIGHT,0 6 2,"1,144","$81,471"
02/13/2023,EVENING,2 0 7,"1,995","$211,764"
02/13/2023,MIDDAY,9 4 7,"1,094","$107,495"
02/12/2023,NIGHT,9 4 6,326,"$24,729"
02/12/2023,EVENING,6 7 7,906,"$100,422"
02/12/2023,MIDDAY,3 4 3,"1,013","$149,652"
02/11/2023,NIGHT,6 3 2,"1,277","$111,773"
02/11/2023,EVENING,9 4 4,"1,014","$159,958"
02/11/2023,MIDDAY,3 5 7,"5,543","$961,609"
