DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
05/16/2019,MIDDAY,4 8 5,"1,659","$183,970"
05/15/2019,NIGHT,2 9 2,"1,262","$204,942"
05/15/2019,EVENING,2 5 7,"3,691","$439,603"
05/15/2019,MIDDAY,9 2 7,"2,776","$340,542"
05/14/2019,NIGHT,4 7 6,"1,365","$163,052"
05/14/2019,EVENING,9 2 1,"5,542","$597,601"
05/14/2019,MIDDAY,5 7 6,"2,221","$195,587"
05/13/2019,NIGHT,1 9 0,"1,926","$147,063"
05/13/2019,EVENING,7 5 6,"3,245","$284,020"
05/13/2019,MIDDAY,5 5 9,808,"$151,278"
05/12/2019,NIGHT,5 2 4,"1,542","$216,292"
05/12/2019,EVENING,7 5 3,"2,114","$212,835"
05/12/2019,MIDDAY,7 1 2,"3,738","$426,075"
05/11/2019,NIGHT,2 4 0,988,"$78,912"
05/11/2019,EVENING,7 4 5,"1,373","$134,617"
05/11/2019,MIDDAY,3 7 5,"3,439","$292,837"
05/10/2019,NIGHT,3 4 2,"2,743","$222,148"
05/10/2019,EVENING,8 3 2,"3,425","$335,890"
05/10/2019,MIDDAY,2 3 6,"2,496","$217,150"
05/09/2019,NIGHT,0 3 0,814,"$115,046"
