DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
03/27/2022,NIGHT,2 2 7,"1,902","$340,006"
03/27/2022,EVENING,2 7 7,"1,811","$277,073"
03/27/2022,MIDDAY,7 8 1,"2,162","$162,126"
03/26/2022,NIGHT,9 7 8,"2,018","$177,217"
03/26/2022,EVENING,2 9 3,"2,736","$193,961"
03/26/2022,MIDDAY,8 8 2,"1,015","$140,591"
03/25/2022,NIGHT,0 5 7,"2,055","$182,788"
03/25/2022,EVENING,2 5 5,"2,348","$360,753"
03/25/2022,MIDDAY,5 3 7,"3,162","$267,724"
03/24/2022,NIGHT,0 9 0,857,"$95,011"
03/24/2022,EVENING,6 5 0,"2,204","$200,794"
03/24/2022,MIDDAY,0 2 2,"3,083","$422,998"
03/23/2022,NIGHT,9 5 1,"2,489","$228,220"
03/23/2022,EVENING,2 9 2,"2,031","$283,918"
03/23/2022,MIDDAY,3 0 9,"2,744","$387,715"
03/22/2022,NIGHT,9 7 4,788,"$62,641"
03/22/2022,EVENING,7 1 4,"4,450","$564,615"
03/22/2022,MIDDAY,8 8 2,"1,619","$241,550"
03/21/2022,NIGHT,8 4 5,"1,271","$129,776"
03/21/2022,EVENING,2 4 5,"3,371","$282,639"
