DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
04/16/2022,NIGHT,4 4 5,"1,752","$263,958"
04/16/2022,EVENING,7 4 7,"2,144","$420,142"
04/16/2022,MIDDAY,3 3 3,"7,484","$1,779,393"
04/15/2022,NIGHT,6 4 5,"2,656","$306,321"
04/15/2022,EVENING,0 0 0,"9,481","$2,246,706"
04/15/2022,MIDDAY,5 2 3,"3,892","$469,290"
04/14/2022,NIGHT,8 4 8,546,"$75,678"
04/14/2022,EVENING,0 7 7,"1,267","$163,991"
04/14/2022,MIDDAY,1 9 1,"4,775","$689,280"
04/13/2022,NIGHT,1 3 3,"3,157","$493,971"
04/13/2022,EVENING,9 8 0,"1,908","$162,823"
04/13/2022,MIDDAY,0 6 6,"1,017","$138,314"
04/12/2022,NIGHT,1 4 0,"1,629","$113,440"
04/12/2022,EVENING,6 3 2,"2,345","$196,960"
04/12/2022,MIDDAY,5 5 7,"1,378","$217,017"
04/11/2022,NIGHT,8 8 0,"2,285","$369,423"
04/11/2022,EVENING,6 2 8,"3,502","$451,513"
04/11/2022,MIDDAY,9 5 5,858,"$130,648"
04/10/2022,NIGHT,3 4 2,"3,056","$303,581"
04/10/2022,EVENING,7 8 0,"1,552","$113,939"
