DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
06/23/2018,EVENING,6 2 5,"3,211","$460,080"
06/23/2018,MIDDAY,8 8 0,"1,160","$177,224"
06/22/2018,NIGHT,5 9 8,632,"$56,745"
06/22/2018,EVENING,3 8 6,"1,519","$144,467"
06/22/2018,MIDDAY,5 1 6,"3,455","$448,928"
06/21/2018,NIGHT,7 8 7,486,"$55,342"
06/21/2018,EVENING,6 1 7,"3,289","$457,460"
06/21/2018,MIDDAY,1 5 9,"1,655","$133,724"
06/20/2018,NIGHT,4 3 4,648,"$103,485"
06/20/2018,EVENING,2 7 7,"1,402","$224,833"
06/20/2018,MIDDAY,5 7 3,"2,440","$216,858"
06/19/2018,NIGHT,1 0 9,"2,253","$341,044"
06/19/2018,EVENING,2 3 6,"2,468","$214,769"
06/19/2018,MIDDAY,4 8 0,"1,449","$131,759"
06/18/2018,NIGHT,0 5 3,"1,340","$104,440"
06/18/2018,EVENING,9 3 5,"1,252","$107,726"
06/18/2018,MIDDAY,8 4 6,"1,188","$90,764"
06/17/2018,NIGHT,3 1 3,"1,213","$226,278"
06/17/2018,EVENING,7 3 6,971,"$83,776"
06/17/2018,MIDDAY,6 9 9,890,"$163,967"
