DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
03/28/2018,NIGHT,0 6 2,641,"$46,275"
03/28/2018,EVENING,0 3 4,"1,205","$83,802"
03/28/2018,MIDDAY,1 9 6,"1,195","$90,932"
03/27/2018,NIGHT,3 6 4,747,"$64,506"
03/27/2018,EVENING,6 7 4,"1,146","$108,265"
03/27/2018,MIDDAY,3 0 6,"1,423","$145,209"
03/26/2018,NIGHT,5 8 1,"1,100","$96,154"
03/26/2018,EVENING,2 8 3,"2,363","$175,104"
03/26/2018,MIDDAY,6 5 6,798,"$118,997"
03/25/2018,NIGHT,2 6 6,"1,025","$179,114"
03/25/2018,EVENING,9 2 6,"1,620","$172,335"
03/25/2018,MIDDAY,4 0 3,"1,971","$218,327"
03/24/2018,NIGHT,3 4 5,"1,801","$257,586"
03/24/2018,EVENING,3 4 4,"1,289","$191,960"
03/24/2018,MIDDAY,1 0 4,"3,761","$519,541"
03/23/2018,NIGHT,2 9 0,"1,414","$131,288"
03/23/2018,EVENING,8 4 1,"3,173","$259,126"
03/23/2018,MIDDAY,1 3 5,"3,021","$308,825"
03/22/2018,NIGHT,3 6 8,726,"$81,947"
03/22/2018,EVENING,6 6 7,971,"$125,627"
