DATE,DRAW,WINNING NUMBERS,winning_digit_1,winning_digit_2,winning_digit_3
1521158400.0,1.0,102.0,1.0,0.0,2.0
1521158400.0,0.0,522.0,5.0,2.0,2.0
1521244800.0,2.0,647.0,6.0,4.0,7.0
1521244800.0,1.0,380.0,3.0,8.0,0.0
1521244800.0,0.0,165.0,1.0,6.0,5.0
1521331200.0,2.0,694.0,6.0,9.0,4.0
1521331200.0,1.0,88.0,0.0,8.0,8.0
1521331200.0,0.0,765.0,7.0,6.0,5.0
1521417600.0,2.0,781.0,7.0,8.0,1.0
1521417600.0,1.0,450.0,4.0,5.0,0.0
1521417600.0,0.0,691.0,6.0,9.0,1.0
1521504000.0,2.0,258.0,2.0,5.0,8.0
1521504000.0,1.0,384.0,3.0,8.0,4.0
1521504000.0,0.0,985.0,9.0,8.0,5.0
1521590400.0,1.0,39.0,0.0,3.0,9.0
1521590400.0,0.0,94.0,0.0,9.0,4.0
1521590400.0,2.0,338.0,3.0,3.0,8.0
1521676800.0,0.0,26.0,0.0,2.0,6.0
1521676800.0,1.0,667.0,6.0,6.0,7.0
1521676800.0,2.0,368.0,3.0,6.0,8.0
1521763200.0,0.0,135.0,1.0,3.0,5.0
1521763200.0,1.0,841.0,8.0,4.0,1.0
1521763200.0,2.0,290.0,2.0,9.0,0.0
1521849600.0,2.0,345.0,3.0,4.0,5.0
1521849600.0,1.0,344.0,3.0,4.0,4.0
1521849600.0,0.0,104.0,1.0,0.0,4.0
1521936000.0,2.0,266.0,2.0,6.0,6.0
1521936000.0,1.0,926.0,9.0,2.0,6.0
1521936000.0,0.0,403.0,4.0,0.0,3.0
1522022400.0,2.0,581.0,5.0,8.0,1.0
1522022400.0,0.0,656.0,6.0,5.0,6.0
1522022400.0,1.0,283.0,2.0,8.0,3.0
1522108800.0,2.0,364.0,3.0,6.0,4.0
1522108800.0,1.0,674.0,6.0,7.0,4.0
1522108800.0,0.0,306.0,3.0,0.0,6.0
1522195200.0,2.0,62.0,0.0,6.0,2.0
1522195200.0,1.0,34.0,0.0,3.0,4.0
1522195200.0,0.0,196.0,1.0,9.0,6.0
1522281600.0,0.0,657.0,6.0,5.0,7.0
1522281600.0,1.0,920.0,9.0,2.0,0.0
1522281600.0,2.0,564.0,5.0,6.0,4.0
