DATE,DRAW,WINNING NUMBERS,winning_digit_1,winning_digit_2,winning_digit_3,winning_number_lag_1,winning_number_lag_2,winning_number_lag_3,winning_number_lag_4,winning_number_lag_5,winning_number_lag_6,winning_number_lag_7,winning_number_lag_8,winning_number_lag_9,winning_number_lag_10,winning_digit_1_lag_1,winning_digit_2_lag_1,winning_digit_3_lag_1,winning_digit_1_lag_2,winning_digit_2_lag_2,winning_digit_3_lag_2,winning_digit_1_lag_3,winning_digit_2_lag_3,winning_digit_3_lag_3,winning_digit_1_lag_4,winning_digit_2_lag_4,winning_digit_3_lag_4,winning_digit_1_lag_5,winning_digit_2_lag_5,winning_digit_3_lag_5,winning_digit_1_lag_6,winning_digit_2_lag_6,winning_digit_3_lag_6,winning_digit_1_lag_7,winning_digit_2_lag_7,winning_digit_3_lag_7,winning_digit_1_lag_8,winning_digit_2_lag_8,winning_digit_3_lag_8,winning_digit_1_lag_9,winning_digit_2_lag_9,winning_digit_3_lag_9,winning_digit_1_lag_10,winning_digit_2_lag_10,winning_digit_3_lag_10
1.3859424e+18,1.0,405.0,4.0,0.0,5.0,191.0,477.0,337.0,394.0,291.0,276.0,434.0,131.0,288.0,647.0,1.0,9.0,1.0,4.0,7.0,7.0,3.0,3.0,7.0,3.0,9.0,4.0,2.0,9.0,1.0,2.0,7.0,6.0,4.0,3.0,4.0,1.0,3.0,1.0,2.0,8.0,8.0,6.0,4.0,7.0
1.3859424e+18,0.0,100.0,1.0,0.0,0.0,405.0,191.0,477.0,337.0,394.0,291.0,276.0,434.0,131.0,288.0,4.0,0.0,5.0,1.0,9.0,1.0,4.0,7.0,7.0,3.0,3.0,7.0,3.0,9.0,4.0,2.0,9.0,1.0,2.0,7.0,6.0,4.0,3.0,4.0,1.0,3.0,1.0,2.0,8.0,8.0
1.3860288e+18,1.0,134.0,1.0,3.0,4.0,100.0,405.0,191.0,477.0,337.0,394.0,291.0,276.0,434.0,131.0,1.0,0.0,0.0,4.0,0.0,5.0,1.0,9.0,1.0,4.0,7.0,7.0,3.0,3.0,7.0,3.0,9.0,4.0,2.0,9.0,1.0,2.0,7.0,6.0,4.0,3.0,4.0,1.0,3.0,1.0
1.3860288e+18,0.0,622.0,6.0,2.0,2.0,134.0,100.0,405.0,191.0,477.0,337.0,394.0,291.0,276.0,434.0,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,5.0,1.0,9.0,1.0,4.0,7.0,7.0,3.0,3.0,7.0,3.0,9.0,4.0,2.0,9.0,1.0,2.0,7.0,6.0,4.0,3.0,4.0
1.3861152e+18,1.0,365.0,3.0,6.0,5.0,622.0,134.0,100.0,405.0,191.0,477.0,337.0,394.0,291.0,276.0,6.0,2.0,2.0,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,5.0,1.0,9.0,1.0,4.0,7.0,7.0,3.0,3.0,7.0,3.0,9.0,4.0,2.0,9.0,1.0,2.0,7.0,6.0
1.3861152e+18,0.0,205.0,2.0,0.0,5.0,365.0,622.0,134.0,100.0,405.0,191.0,477.0,337.0,394.0,291.0,3.0,6.0,5.0,6.0,2.0,2.0,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,5.0,1.0,9.0,1.0,4.0,7.0,7.0,3.0,3.0,7.0,3.0,9.0,4.0,2.0,9.0,1.0
1.3862016e+18,1.0,628.0,6.0,2.0,8.0,205.0,365.0,622.0,134.0,100.0,405.0,191.0,477.0,337.0,394.0,2.0,0.0,5.0,3.0,6.0,5.0,6.0,2.0,2.0,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,5.0,1.0,9.0,1.0,4.0,7.0,7.0,3.0,3.0,7.0,3.0,9.0,4.0
1.3862016e+18,0.0,594.0,5.0,9.0,4.0,628.0,205.0,365.0,622.0,134.0,100.0,405.0,191.0,477.0,337.0,6.0,2.0,8.0,2.0,0.0,5.0,3.0,6.0,5.0,6.0,2.0,2.0,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,5.0,1.0,9.0,1.0,4.0,7.0,7.0,3.0,3.0,7.0
1.386288e+18,1.0,727.0,7.0,2.0,7.0,594.0,628.0,205.0,365.0,622.0,134.0,100.0,405.0,191.0,477.0,5.0,9.0,4.0,6.0,2.0,8.0,2.0,0.0,5.0,3.0,6.0,5.0,6.0,2.0,2.0,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,5.0,1.0,9.0,1.0,4.0,7.0,7.0
1.386288e+18,0.0,696.0,6.0,9.0,6.0,727.0,594.0,628.0,205.0,365.0,622.0,134.0,100.0,405.0,191.0,7.0,2.0,7.0,5.0,9.0,4.0,6.0,2.0,8.0,2.0,0.0,5.0,3.0,6.0,5.0,6.0,2.0,2.0,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,5.0,1.0,9.0,1.0
