DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
06/20/2021,NIGHT,9 2 3,"1,007","$160,989"
06/20/2021,EVENING,0 6 1,"2,678","$195,441"
06/20/2021,MIDDAY,5 7 1,"1,724","$179,488"
06/19/2021,NIGHT,1 0 9,"2,685","$410,036"
06/19/2021,EVENING,9 3 9,714,"$125,497"
06/19/2021,MIDDAY,3 7 2,"2,112","$171,263"
06/18/2021,NIGHT,6 5 8,"1,041","$102,623"
06/18/2021,EVENING,5 2 5,"1,919","$472,865"
06/18/2021,MIDDAY,4 5 8,"1,256","$131,154"
06/17/2021,NIGHT,6 7 0,931,"$77,188"
06/17/2021,EVENING,3 5 1,"6,658","$661,795"
06/17/2021,MIDDAY,6 5 6,"1,095","$165,622"
06/16/2021,NIGHT,9 7 8,"2,395","$216,330"
06/16/2021,EVENING,6 5 6,861,"$127,236"
06/16/2021,MIDDAY,3 1 4,"3,818","$571,423"
06/15/2021,NIGHT,4 8 2,"1,543","$132,300"
06/15/2021,EVENING,4 8 8,815,"$153,743"
06/15/2021,MIDDAY,5 6 5,"1,012","$164,840"
06/14/2021,NIGHT,6 2 6,"1,008","$237,561"
06/14/2021,EVENING,2 2 0,"1,750","$313,416"
DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
06/14/2021,MIDDAY,3 9 2,"2,304","$201,953"
06/13/2021,NIGHT,0 4 1,"1,789","$128,104"
06/13/2021,EVENING,3 0 7,"1,887","$243,495"
06/13/2021,MIDDAY,5 4 1,"2,037","$181,738"
06/12/2021,NIGHT,8 5 7,"1,239","$141,902"
06/12/2021,EVENING,7 4 5,"1,557","$162,347"
06/12/2021,MIDDAY,2 7 8,"2,313","$254,218"
06/11/2021,NIGHT,2 8 5,"1,659","$181,760"
06/11/2021,EVENING,6 7 1,"3,069","$254,302"
06/11/2021,MIDDAY,5 2 3,"3,726","$556,996"
06/10/2021,NIGHT,3 1 6,"2,644","$523,346"
06/10/2021,EVENING,6 5 6,"1,133","$179,830"
06/10/2021,MIDDAY,8 6 4,"2,118","$221,063"
06/09/2021,NIGHT,8 1 8,"2,137","$533,144"
06/09/2021,EVENING,6 6 6,"6,056","$2,257,573"
06/09/2021,MIDDAY,2 8 6,"2,843","$251,931"
06/08/2021,NIGHT,7 8 5,996,"$89,080"
06/08/2021,EVENING,7 1 0,"3,350","$398,693"
06/08/2021,MIDDAY,5 1 2,"2,819","$324,015"
06/07/2021,NIGHT,6 8 6,435,"$59,154"
DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
06/07/2021,EVENING,9 2 1,"3,203","$378,225"
06/07/2021,MIDDAY,0 0 8,"1,930","$334,529"
06/06/2021,NIGHT,5 9 3,745,"$88,563"
06/06/2021,EVENING,8 0 5,"1,655","$184,194"
06/06/2021,MIDDAY,0 3 3,"1,688","$271,459"
06/05/2021,NIGHT,5 8 4,"1,117","$98,782"
06/05/2021,EVENING,8 9 9,"1,809","$357,957"
06/05/2021,MIDDAY,3 0 1,"4,198","$496,328"
06/04/2021,NIGHT,9 4 3,801,"$77,901"
06/04/2021,EVENING,7 2 9,"3,115","$514,578"
06/04/2021,MIDDAY,1 3 3,"3,473","$614,502"
06/03/2021,NIGHT,6 6 2,"1,326","$234,398"
06/03/2021,EVENING,9 1 2,"4,276","$523,139"
06/03/2021,MIDDAY,5 5 4,"1,104","$192,109"
06/02/2021,NIGHT,7 8 2,"1,865","$165,609"
06/02/2021,EVENING,2 4 6,"2,771","$264,484"
06/02/2021,MIDDAY,1 2 5,"3,470","$493,087"
06/01/2021,NIGHT,2 6 2,"1,038","$177,248"
06/01/2021,EVENING,4 9 9,789,"$146,624"
06/01/2021,MIDDAY,3 8 0,"2,327","$210,260"
DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
05/31/2021,NIGHT,0 1 3,"3,170","$301,090"
05/31/2021,EVENING,3 4 3,"2,193","$388,142"
05/31/2021,MIDDAY,3 4 8,"1,330","$173,811"
05/30/2021,NIGHT,4 5 0,"1,081","$139,510"
05/30/2021,EVENING,6 0 7,"1,307","$140,941"
05/30/2021,MIDDAY,1 9 5,"2,065","$204,602"
05/29/2021,NIGHT,7 3 5,"2,517","$227,342"
05/29/2021,EVENING,5 7 3,"3,003","$279,573"
05/29/2021,MIDDAY,1 2 2,"8,504","$1,946,270"
05/28/2021,NIGHT,4 2 6,"1,691","$208,056"
05/28/2021,EVENING,3 7 5,"4,504","$452,699"
05/28/2021,MIDDAY,0 8 5,"2,229","$192,374"
05/27/2021,NIGHT,1 1 7,"3,037","$682,289"
05/27/2021,EVENING,3 0 3,"2,753","$617,113"
05/27/2021,MIDDAY,8 5 1,"2,405","$207,147"
05/26/2021,NIGHT,7 4 8,875,"$90,125"
05/26/2021,EVENING,5 7 6,"4,914","$530,289"
05/26/2021,MIDDAY,9 2 4,"1,999","$285,959"
05/25/2021,NIGHT,2 1 1,"4,183","$896,212"
05/25/2021,EVENING,9 3 0,"2,324","$280,872"
DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
05/25/2021,MIDDAY,9 6 8,"1,133","$93,681"
05/24/2021,NIGHT,2 0 9,"1,169","$154,699"
05/24/2021,EVENING,0 4 9,"1,490","$135,517"
